number,squadron,wld,matches,matchPoints,games,gamePoints,initialByes,byes,matchWinPercentageMTG,gameWinPercentage,opponents
#0046,Henerth Mk VIII,"l,l,l,l,l,w,w,l",8,6,24,27,0,0,0.330,0.375,"Halea v22.63,Peter,Purilia Mk XXXV,Ioliv,Iuzuno,Nehiri,Bonope,Qewei Mk XCV"
#0025,Iapra,"w,l,w,l,l,w,l,l",8,9,24,30,0,0,0.375,0.417,"Peturn,Keclite,Peter,Huthea,Zoclite,Futis,Nalea v36.5,Pucury v46.28"
#0141,Quphus,"l,w,l,l,l,l,l,w",8,6,24,24,0,0,0.330,0.333,"Tonides,Xulia,Xunus Mk XII,Nostea,Ioliv,Lethea Mk XCVII,Vetania,Xaturn"
#0009,Relia v12.42,"l,l,w,w,w,l,l,w",8,12,24,27,0,0,0.500,0.375,"Fupra,Sugantu,Qustea,Qewei Mk XCV,Wanus v30.81,Logawa,Pucarro,Iunus v35.24"
#0086,Peturn,"l,l,w,l,l,w,l,l",8,6,24,18,0,0,0.330,0.330,"Iapra,Nonia,Futer,Ronope Mk LXVIII,Toliv v6.73,Iuzuno,Konus Mk LVIII,Cuvis"
#0089,Lanus,"l,l,w,w,w,l,w,l",8,12,24,33,0,0,0.500,0.458,"Keclite,Bowei,Guthea,Selia,Purilia Mk XXXV,Selea,Manope Mk XXXVII,Gaphus"
#0111,Herilia v14.82,"w,w,l,w,w,l,w,w,l",9,18,27,51,0,0,0.667,0.630,"Ienov,Jolea,Fuwei,Quwei,Haruta Mk XLIX,Nuthea,Hunus v28.9,Yenus,Negantu"
#0035,Haruta Mk XLIX,"l,w,w,w,l,w,w,w",8,18,24,51,0,0,0.750,0.708,"Selea,Manope Mk XXXVII,Nonia,Wanus v30.81,Herilia v14.82,Tetune,Ferilia,Juzuno v16.41"
#0094,Monus,"l,w,l,w,l,w,w,w",8,15,24,45,0,0,0.625,0.625,"Yenus,Nostea,Wunus,Jolea,Ferilia,Bowei,Qewei,Dayama"
#0057,Ienov,"l,w,l,l,w,w,l,w",8,12,24,39,0,0,0.500,0.542,"Herilia v14.82,Iunus v35.24,Tubos,Nonia,Pecury,Later,Sophus,Ronope Mk LXVIII"
#0131,Iunus v35.24,"l,l,l,w,w,l,l,l",8,6,24,21,0,0,0.330,0.330,"Konus Mk LVIII,Ienov,Nostea,Dovis v46.22,Lethea Mk XCVII,Vucarro v33.11,Zuter,Relia v12.42"
